State Name,District Name,Disability,Age Group,Male,Female,Other,Total
Andaman And Nicobar Islands,Nicobars,Multiple Sclerosis,'15-35',1,,,1
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'35-60',39,18,,57
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'15-35',22,10,,32
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'0-6',,1,,1
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,'35-60',,1,,1
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,'15-35',3,1,,4
Andaman And Nicobar Islands,Nicobars,Blindness,'80+',,,,
Andaman And Nicobar Islands,Nicobars,Blindness,'60-80',3,2,,5
Andaman And Nicobar Islands,Nicobars,Blindness,'6-15',1,,,1
Andaman And Nicobar Islands,Nicobars,Blindness,'35-60',16,3,,19
Andaman And Nicobar Islands,Nicobars,Blindness,'15-35',5,1,,6
Andaman And Nicobar Islands,Nicobars,Autism Spectrum Disorder,'35-60',,,,
Andaman And Nicobar Islands,Nicobars,Acid Attack Victim,'6-15',,,,
Andaman And Nicobar Islands,Nicobars,Acid Attack Victim,'35-60',,1,,1
Andaman And Nicobar Islands,Nicobars,Acid Attack Victim,'15-35',,,,
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,'6-15',4,3,,7
Andaman And Nicobar Islands,Nicobars,Cerebral Palsy,'80+',,,,
Andaman And Nicobar Islands,Nicobars,Chronic Neurological Conditions,'15-35',,,,
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,'6-15',2,4,,6
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,'35-60',1,2,,3
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,'15-35',3,5,,8
Andaman And Nicobar Islands,Nicobars,Intellectual Disability,'0-6',,1,,1
Andaman And Nicobar Islands,Nicobars,Hemophilia,'60-80',1,,,1
Andaman And Nicobar Islands,Nicobars,Hemophilia,'15-35',,,,
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,'80+',1,,,1
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,'60-80',14,2,,16
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,'6-15',3,,,3
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,'35-60',14,8,,22
Andaman And Nicobar Islands,Nicobars,Hearing Impairment,'15-35',11,3,,14
Andaman And Nicobar Islands,South Andamans,Low Vision,'35-60',21,14,,35
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'6-15',10,1,,11
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'80+',11,,,11
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'60-80',101,27,,128
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'6-15',25,13,,38
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'35-60',308,145,,453
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'15-35',95,72,,167
Andaman And Nicobar Islands,North And Middle Andaman,Locomotor Disability,'0-6',2,2,,4
Andaman And Nicobar Islands,North And Middle Andaman,Leprosy cured,'60-80',2,,,2
Andaman And Nicobar Islands,North And Middle Andaman,Leprosy cured,'35-60',6,,,6
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,'60-80',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,'6-15',25,17,,42
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,'35-60',13,10,,23
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,'15-35',57,38,,95
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,'15-35',19,15,,34
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,'35-60',45,21,,66
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,'80+',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,'6-15',17,9,,26
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,'35-60',25,13,,38
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,'15-35',43,23,,66
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Disabilities,'0-6',,,,
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,'60-80',2,2,,4
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,'6-15',15,9,,24
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,'35-60',45,33,,78
Andaman And Nicobar Islands,North And Middle Andaman,Mental Illness,'15-35',71,48,,119
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,'80+',2,,,2
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,'60-80',16,3,,19
Andaman And Nicobar Islands,North And Middle Andaman,Low Vision,'6-15',5,2,,7
Andaman And Nicobar Islands,North And Middle Andaman,Intellectual Disability,'0-6',3,3,,6
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'15-35',11,20,,31
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,'6-15',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,'35-60',4,4,,8
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,'15-35',2,1,,3
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,'60-80',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,'6-15',15,10,,25
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,'35-60',14,5,,19
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,'15-35',12,10,,22
Andaman And Nicobar Islands,North And Middle Andaman,Cerebral Palsy,'0-6',2,,,2
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'80+',5,2,,7
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'60-80',12,7,,19
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'6-15',3,,,3
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'35-60',38,25,,63
Andaman And Nicobar Islands,North And Middle Andaman,Chronic Neurological Conditions,'60-80',3,,,3
Andaman And Nicobar Islands,North And Middle Andaman,Dwarfism,'15-35',4,1,,5
Andaman And Nicobar Islands,North And Middle Andaman,Hemophilia,'60-80',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Hemophilia,'35-60',2,2,,4
Andaman And Nicobar Islands,North And Middle Andaman,Hemophilia,'15-35',2,1,,3
Andaman And Nicobar Islands,South Andamans,Mental Illness,'15-35',188,122,,310
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'80+',7,1,,8
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'60-80',41,20,,61
Andaman And Nicobar Islands,North And Middle Andaman,Dwarfism,'6-15',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'35-60',67,50,,117
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'15-35',32,32,,64
Andaman And Nicobar Islands,North And Middle Andaman,Hearing Impairment,'0-6',3,1,,4
Andaman And Nicobar Islands,North And Middle Andaman,Dwarfism,'35-60',4,4,,8
Andhra Pradesh,Ntr,Hearing Impairment,'6-15',2,1,,3
Andhra Pradesh,Ntr,Mental Illness,'15-35',1,2,,3
Andhra Pradesh,Ntr,Mental Illness,'35-60',1,,,1
Andhra Pradesh,Ntr,Mental Illness,'6-15',1,2,,3
Andhra Pradesh,Ntr,Multiple Disabilities,'15-35',,,,
Andhra Pradesh,Ntr,Multiple Disabilities,'35-60',1,,,1
Andhra Pradesh,Ntr,Multiple Disabilities,'6-15',,,,
Andhra Pradesh,Ntr,Multiple Disabilities,'60-80',,,,
Andhra Pradesh,Ntr,Muscular Dystrophy,'15-35',1,,,1
Andhra Pradesh,Ntr,Muscular Dystrophy,'35-60',,,,
Andhra Pradesh,Ntr,Muscular Dystrophy,'6-15',,,,
Andhra Pradesh,Ntr,Speech and Language Disability,'0-6',,,,
Andhra Pradesh,Ntr,Speech and Language Disability,'15-35',,,,
Andhra Pradesh,Ntr,Speech and Language Disability,'6-15',,,,
Andhra Pradesh,Palnadu,Acid Attack Victim,'15-35',1,,,1
Andhra Pradesh,Palnadu,Acid Attack Victim,'35-60',,,,
Andhra Pradesh,Ntr,Mental Illness,'0-6',,,,
Andhra Pradesh,Ntr,Low Vision,'6-15',,,,
Andhra Pradesh,Ntr,Hearing Impairment,'60-80',,,,
Andhra Pradesh,Ntr,Hemophilia,'15-35',,,,
Andhra Pradesh,Ntr,Hemophilia,'35-60',,,,
Andhra Pradesh,Ntr,Intellectual Disability,'0-6',1,,,1
Andhra Pradesh,Ntr,Intellectual Disability,'15-35',1,2,,3
Andhra Pradesh,Ntr,Intellectual Disability,'35-60',1,,,1
Andhra Pradesh,Ntr,Intellectual Disability,'6-15',2,1,,3
Andhra Pradesh,Ntr,Locomotor Disability,'0-6',,,,
Andhra Pradesh,Ntr,Locomotor Disability,'15-35',8,2,,10
Andhra Pradesh,Ntr,Locomotor Disability,'35-60',24,1,,25
Andhra Pradesh,Ntr,Locomotor Disability,'6-15',,,,
Andhra Pradesh,Ntr,Locomotor Disability,'60-80',4,,,4
Andhra Pradesh,Ntr,Locomotor Disability,'80+',,,,
Andhra Pradesh,Ntr,Low Vision,'15-35',1,,,1
Andhra Pradesh,Ntr,Low Vision,'35-60',1,,,1
Andhra Pradesh,Palnadu,Autism Spectrum Disorder,'0-6',1,,,1
Andhra Pradesh,Palnadu,Autism Spectrum Disorder,'6-15',1,,,1
Andhra Pradesh,Palnadu,Blindness,'0-6',,1,,1
Andhra Pradesh,Palnadu,Hemophilia,'15-35',7,,,7
Andhra Pradesh,Palnadu,Hemophilia,'35-60',3,1,,4
Andhra Pradesh,Palnadu,Hemophilia,'6-15',4,,,4
Andhra Pradesh,Palnadu,Hemophilia,'60-80',,,,
Andhra Pradesh,Palnadu,Intellectual Disability,'0-6',2,1,,3
Andhra Pradesh,Palnadu,Intellectual Disability,'15-35',47,22,,69
Andhra Pradesh,Palnadu,Intellectual Disability,'35-60',,3,,3
Andhra Pradesh,Palnadu,Intellectual Disability,'6-15',25,11,,36
Andhra Pradesh,Palnadu,Leprosy cured,'15-35',1,,,1
Andhra Pradesh,Palnadu,Leprosy cured,'35-60',,1,,1
Andhra Pradesh,Palnadu,Locomotor Disability,'0-6',,,,
Andhra Pradesh,Palnadu,Locomotor Disability,'15-35',46,10,,56
Andhra Pradesh,Palnadu,Locomotor Disability,'35-60',59,16,,75
Andhra Pradesh,Palnadu,Locomotor Disability,'6-15',3,4,,7
Andhra Pradesh,Palnadu,Locomotor Disability,'60-80',4,1,,5
Andhra Pradesh,Palnadu,Hemophilia,'0-6',,,,
Andhra Pradesh,Palnadu,Hearing Impairment,'80+',,,,
Andhra Pradesh,Palnadu,Blindness,'15-35',10,5,,15
Andhra Pradesh,Palnadu,Blindness,'35-60',10,1,,11
Andhra Pradesh,Palnadu,Blindness,'6-15',4,1,,5
Andhra Pradesh,Palnadu,Blindness,'60-80',2,1,,3
Andhra Pradesh,Palnadu,Cerebral Palsy,'15-35',7,,,7
Andhra Pradesh,Palnadu,Cerebral Palsy,'35-60',3,,,3
Andhra Pradesh,Palnadu,Cerebral Palsy,'6-15',1,2,,3
Andhra Pradesh,Palnadu,Chronic Neurological Conditions,'15-35',1,,,1
Andhra Pradesh,Palnadu,Chronic Neurological Conditions,'35-60',,,,
Andhra Pradesh,Palnadu,Dwarfism,'15-35',,,,
Andhra Pradesh,Palnadu,Hearing Impairment,'0-6',1,,,1
Andhra Pradesh,Palnadu,Hearing Impairment,'15-35',24,9,,33
Andhra Pradesh,Palnadu,Hearing Impairment,'35-60',13,6,,19
Andhra Pradesh,Palnadu,Hearing Impairment,'6-15',7,2,,9
Andhra Pradesh,Palnadu,Hearing Impairment,'60-80',1,1,,2
Andhra Pradesh,Palnadu,Locomotor Disability,'80+',,,,
Andhra Pradesh,Kurnool,Parkinson's Disease,'15-35',,,,
Andhra Pradesh,Nandyal,Cerebral Palsy,'6-15',,,,
Andhra Pradesh,Nandyal,Chronic Neurological Conditions,'35-60',,,,
Andhra Pradesh,Nandyal,Hearing Impairment,'0-6',,,,
Andhra Pradesh,Nandyal,Hearing Impairment,'15-35',3,,,3
Andhra Pradesh,Nandyal,Hearing Impairment,'35-60',,,,
Andhra Pradesh,Nandyal,Hearing Impairment,'6-15',,1,,1
Andhra Pradesh,Nandyal,Hemophilia,'35-60',,,,
Andhra Pradesh,Nandyal,Intellectual Disability,'0-6',,,,
Andhra Pradesh,Nandyal,Intellectual Disability,'15-35',,,,
Andhra Pradesh,Nandyal,Intellectual Disability,'35-60',,,,
Andhra Pradesh,Nandyal,Intellectual Disability,'6-15',,1,,1
Andhra Pradesh,Nandyal,Locomotor Disability,'15-35',4,1,,5
Andhra Pradesh,Nandyal,Locomotor Disability,'35-60',6,,,6
Andhra Pradesh,Nandyal,Locomotor Disability,'6-15',,,,
Andhra Pradesh,Nandyal,Locomotor Disability,'60-80',,,,
Andhra Pradesh,Nandyal,Cerebral Palsy,'35-60',,,,
Andhra Pradesh,Nandyal,Cerebral Palsy,'15-35',1,,,1
Andhra Pradesh,Kurnool,Parkinson's Disease,'35-60',,,,
Andhra Pradesh,Kurnool,Sickle Cell Disease,'15-35',,,,
Andhra Pradesh,Kurnool,Sickle Cell Disease,'35-60',1,,,1
Andhra Pradesh,Kurnool,Specific Learning Disabilities,'15-35',,2,,2
Andhra Pradesh,Kurnool,Specific Learning Disabilities,'35-60',,3,,3
Andhra Pradesh,Kurnool,Speech and Language Disability,'15-35',2,,,2
Andhra Pradesh,Kurnool,Speech and Language Disability,'6-15',,,,
Andhra Pradesh,Kurnool,Speech and Language Disability,'60-80',,,,
Andhra Pradesh,Kurnool,Thalassemia,'0-6',,,,
Andhra Pradesh,Kurnool,Thalassemia,'15-35',,,,
Andhra Pradesh,Kurnool,Thalassemia,'6-15',,,,
Andhra Pradesh,Nandyal,Blindness,'15-35',2,1,,3
Andhra Pradesh,Nandyal,Blindness,'35-60',,,,
Andhra Pradesh,Nandyal,Blindness,'6-15',,,,
Andhra Pradesh,Nandyal,Blindness,'60-80',,,,
Andhra Pradesh,Nandyal,Low Vision,'15-35',1,,,1
Andhra Pradesh,Nandyal,Low Vision,'35-60',,,,
Andhra Pradesh,Nandyal,Low Vision,'6-15',,,,
Andhra Pradesh,Ntr,Blindness,'6-15',,,,
Andhra Pradesh,Ntr,Blindness,'60-80',,,,
Andhra Pradesh,Ntr,Cerebral Palsy,'0-6',,,,
Andhra Pradesh,Ntr,Cerebral Palsy,'15-35',2,1,,3
Andhra Pradesh,Ntr,Cerebral Palsy,'35-60',1,,,1
Andhra Pradesh,Ntr,Cerebral Palsy,'6-15',1,,,1
Andhra Pradesh,Ntr,Chronic Neurological Conditions,'15-35',,,,
Andhra Pradesh,Ntr,Chronic Neurological Conditions,'35-60',,,,
Andhra Pradesh,Ntr,Chronic Neurological Conditions,'6-15',,,,
Andhra Pradesh,Ntr,Chronic Neurological Conditions,'60-80',,,,
Andhra Pradesh,Ntr,Chronic Neurological Conditions,'80+',,,,
Andhra Pradesh,Ntr,Dwarfism,'15-35',,,,
Andhra Pradesh,Ntr,Dwarfism,'35-60',,,,
Andhra Pradesh,Ntr,Hearing Impairment,'0-6',,,,
Andhra Pradesh,Ntr,Hearing Impairment,'15-35',14,8,,22
Andhra Pradesh,Ntr,Blindness,'35-60',2,1,,3
Andhra Pradesh,Ntr,Blindness,'15-35',2,1,,3
Andhra Pradesh,Nandyal,Mental Illness,'0-6',,,,
Andhra Pradesh,Nandyal,Mental Illness,'15-35',4,1,,5
Andhra Pradesh,Nandyal,Mental Illness,'35-60',,,,
Andhra Pradesh,Nandyal,Mental Illness,'6-15',1,,,1
Andhra Pradesh,Nandyal,Multiple Disabilities,'0-6',,,,
Andhra Pradesh,Nandyal,Multiple Disabilities,'15-35',,,,
Andhra Pradesh,Nandyal,Multiple Disabilities,'35-60',,,,
Andhra Pradesh,Nandyal,Multiple Disabilities,'6-15',,,,
Andhra Pradesh,Nandyal,Muscular Dystrophy,'15-35',,,,
Andhra Pradesh,Nandyal,Muscular Dystrophy,'35-60',,,,
Andhra Pradesh,Nandyal,Thalassemia,'0-6',,,,
Andhra Pradesh,Nandyal,Thalassemia,'15-35',,,,
Andhra Pradesh,Ntr,Autism Spectrum Disorder,'0-6',1,,,1
Andhra Pradesh,Ntr,Autism Spectrum Disorder,'15-35',,,,
Andhra Pradesh,Ntr,Autism Spectrum Disorder,'6-15',2,,,2
Andhra Pradesh,Ntr,Hearing Impairment,'35-60',11,,,11
Andhra Pradesh,Palnadu,Low Vision,'15-35',3,1,,4
